SCAC,Company name,Country,Category
AQBC,ABOARD CARGO SERVICE INCORPORATED,USA,Mid-sized International Freight Forwarders
ABLB,ABOUT LOGISTICS INCORPORATED,USA,Other Players
ABHK,ABS HAULING LIMITED LIABILITY COMPANY,USA,Other Players
AFIJ,ABSOLUTE FREIGHT INCORPORATED,USA,Other Players
AIAI,ABSOLUTE INDUSTRIAL AUTOMATION,,Other Players
ABDL,ABT LOGISTICS LIMITED LIABILITY COMPANY,USA,Other Players
AHQB,ABU DHABI MARINE OPERATIONS,,Other Players
ACPJ,ACADIAN SEAPLANTS LIMITED,,Other Players
AQYG,ACA QUALITY LOGISTICS LC,,Other Players
ACTM,ACB TRANSPORT,,Other Players
AXBM,ACCELERATED GLOBAL SOLUTIONS INCORPORATED,USA,Mid-sized International Freight Forwarders
AWSD,ACCELERATORS WORLDWIDE SYSTEMS LIMITED LIABILITY COMPANY,USA,Mid-sized International Freight Forwarders
ACDL,ACCEL GLOBAL FREIGHT AND SHIPPING LIMITED LIABILITY COMPANY,USA,Mid-sized International Freight Forwarders
ACWN,ACCEL TRANSPORT AND LOGISTICS,,Other Players
ACHB,ACCESS SUPPLY CHAIN SERVICE,,Other Players
AWPY,ACCESS WORLD (USA) LIMITED LIABILITY COMPANY,USA,Mid-sized International Freight Forwarders
ALRB,AC CONTAINER LINE GMBH,,NVOCCs
ADSN,ACCORDIA SHIPPING LIMITED LIABILITY COMPANY,USA,Other Players
AOCD,ACCORD LOGISTICS COMPANY LIMITED,,Mid-sized International Freight Forwarders
ACSG,ACC SHIPPING LIMITED,,Mid-sized International Freight Forwarders
AFGJ,ACCUFREIGHT GROUP,,Mid-sized International Freight Forwarders
AKUC,ACCURACY SHIPPING LIMITED,,Mid-sized Indian Freight Forwarders
AEGA,ACEC LOGISTICS LIMITED LIABILITY COMPANY,USA,Other Players
AMEU,ACE CRANES & ENGINEERING FZ LIMITED LIABILITY COMPANY,USA,Other Players
AFPI,ACE FORWARDERS PRIVATE LIMITED,India,Mid-sized Indian Freight Forwarders
ACGD,ACE LOGISTICS COMPANY LIMITED,,Mid-sized International Freight Forwarders
ACEM,ACELYNX INCORPORATED,USA,Other Players
ACEO,ACE OCEAN EXPRESS COMPANY LIMITED,,Mid-sized International Freight Forwarders
APBA,ACE PACIFIC SHIPPING PTE LIMITED,,Mid-sized International Freight Forwarders
AQCV,ACE QUANTUM CHEMICAL TANKERS CV,,Other Players
ASPM,ACE SHIPPING A/S,,Mid-sized International Freight Forwarders
ALON,ACETRANS LOGISTICS LIMITED,,Mid-sized International Freight Forwarders
ACLY,ACL AMERICA INCORPORATED,USA,Other Players
ACLA,ACL AMERICAN CONTINENTAL LINES,,NVOCCs
ACZW,A CLASS WORLDWIDE SRL,,Mid-sized International Freight Forwarders
ALXB,ACL GLOBE,,Mid-sized International Freight Forwarders
ACZD,ACL MARINE LIMITED,,Other Players
ACLP,AC & LMC FREIGHT TRANSPORT INCORPORATED,USA,Other Players
AERR,ACME FREIGHT SERVICES CORPORATION,,Mid-sized International Freight Forwarders
ACGE,ACM LOGISTICS & CONSULTING INCORPORATED,USA,Other Players
ACOE,A C OERSSLEFFS CHARTERING A/S,,Other Players
AEUQ,ACROCARGO EXPRESS USA INCORPORATED,USA,Mid-sized International Freight Forwarders
QAAS,ACROSS LOGISTICS US,,Mid-sized International Freight Forwarders
AOIK,ACROSS OCEAN INTERNATIONAL LOGISTICS COMPANY LIMITED,,Mid-sized International Freight Forwarders
AOHP,ACROSS THE OCEAN SHIPPING PTY LIMITED,,Mid-sized International Freight Forwarders
ATHO,ACSC TRANSPORTATION & LOGISTIC LIMITED LIABILITY COMPANY,USA,Other Players
ACDF,ACS LINES,,NVOCCs
ACKV,ACS TRUCKING LIMITED LIABILITY COMPANY,USA,Other Players
ACUC,ACS USA LIMITED LIABILITY COMPANY,USA,Mid-sized International Freight Forwarders
ATZW,ACT LIMITED LIMITED LIABILITY COMPANY,USA,Other Players
ACWD,ACTLOGIX,,Other Players
ATHQ,ACT SHIPPING INCORPORATED (QINGDAO) BRANCH,USA,Mid-sized International Freight Forwarders
AUAS,ACU TRANSPORT COMPANY LIMITED,,Other Players
ACXS,ACV FREIGHT LIMITED LIABILITY COMPANY,USA,Other Players
AVBH,ACV TRUCKING COMPANY LIMITED LIABILITY COMPANY,USA,Other Players
ANSL,ADAMAS NAVIGATION SA,,Other Players
ADMY,ADAMERA MINERALS CORPORATION,,Other Players
ADMN,ADAMS ENTERPRISES INCORPORATED,USA,Other Players
ADHC,ADAM TRANSPORTATION LIMITED LIABILITY COMPANY,USA,Other Players
AEDM,ADEMA TRUCKING LIMITED LIABILITY COMPANY,USA,Other Players
ADKW,"ADKINS, J T TRANSPORT INCORPORATED",USA,Other Players
AKME,ADK MARITIME PTE LIMITED,,Other Players
ADLP,ADM INTERNATIONAL SARL,,Other Players
AIQW,ADMIRAL MARINE COMPANY SA,,Other Players
AOSH,ADORA SHIPPING AND TRADING COMPANY,,Other Players
ADPR,ADP GLOBAL LOGISTICS INCORPORATED (USA),USA,Mid-sized International Freight Forwarders
AGLP,ADP GLOBAL LOGISTICS LIMITED LIABILITY COMPANY,USA,Mid-sized International Freight Forwarders
ASSD,ADP SHENZHEN SUPPLY CHAIN COMPANY LIMITED,,Mid-sized International Freight Forwarders
AUDI,ADP USA LOGISTICS INCORPORATED,USA,Mid-sized International Freight Forwarders
ADRG,A & D REGAL LOGISTICS LIMITED LIABILITY COMPANY,USA,Other Players
AQRD,ADS RIGGING AND TRUCKING CORPORATION,,Other Players
AVNF,ADVANCED INTERNATIONAL FREIGHT INCORPORATED,USA,Mid-sized International Freight Forwarders
ALOR,ADVANCED LOGISTICS INCORPORATED,USA,Other Players
ASIT,ADVANCED SIM RACING,,Other Players
AVSV,ADVANCED TRUCKING SOLUTIONS INCORPORATED,USA,Other Players
ATVV,ADVANTAGE TRANSPORT,,Other Players
AECY,A & E CARGO LIMITED LIABILITY COMPANY,USA,Other Players
ASMV,AEGEAN SHIPPING MANAGEMENT S A,,Other Players
AELB,AEL BERKMAN FORWARDING (HK) LIMITED,,Mid-sized International Freight Forwarders
AKJI,AE NOMIKOS SHIPPING INVESTMENTS LIMITED,,Other Players
AINC,AEROLOGIC INCORPORATION,USA,Mid-sized International Freight Forwarders
AEOL,AERO LOGISTICS LIMITED,,Mid-sized International Freight Forwarders
ARQW,AEROMAR LOGISTICS INDIA PVT LIMITED,India,Mid-sized Indian Freight Forwarders
ALCE,AEROSHIPPING LOGISTICS (SHANGHAI) COMPANY LIMITED,,Mid-sized International Freight Forwarders
AHNC,AETHON EXPRESS INCORPORATED,USA,Other Players
AETK,AET INCORPORATED LIMITED,USA,Other Players
ANFJ,AETNA FORWARDING INCORPORATED,USA,Mid-sized International Freight Forwarders
AHPT,AETNA SHIPPING COMPANY LIMITED,,Other Players
AXHG,AEX SHIPPING,,Mid-sized International Freight Forwarders
AFAQ,AFC OCEAN CARRIERS,,NVOCCs
AFOH,AFCO SHIPPING LIMITED LIABILITY COMPANY,USA,Other Players
AFNC,AFE INTERNATIONAL GROUP INCORPORATED,USA,Mid-sized International Freight Forwarders
AYSA,AFFINITY SHIPPING (USA) INCORPORATED,USA,Other Players
AJZH,AFFREIGHTER LOGISTICS PVT LIMITED,India,Mid-sized Indian Freight Forwarders
AWGW,AFRA SERVICES WORLDWIDE INCORPORATED,USA,Other Players
ARGD,AFRICA SHIPPING LIMITED,,Other Players
AGVO,AFS GLOBAL SOLUTIONS LIMITED LIABILITY COMPANY,USA,Other Players
AFMG,A & F TRUCKING LIMITED LIABILITY COMPANY,USA,Other Players
AGBN,AGAPE TRANSPORTATION,,Other Players
AGCS,AG CHOICE LIMITED LIABILITY COMPANY,USA,US Importer
AWEM,AGC NEWTRAL S A,,Mid-sized International Freight Forwarders
ALHI,AGEE TRANSPORT LIMITED LIABILITY COMPANY,USA,Other Players
AMMA,AGENCIA MARITIMA MARTIN S R L,,Other Players
AEZC,AGENT EX LIMITED LIABILITY COMPANY,USA,Other Players
AGIJ,AGILITI,,Other Players
ANQD,AGIOS NIKOLAS LIMITED,,Other Players
AGJC,A G J TRANSPORT LIMITED LIABILITY COMPANY,USA,Other Players
ACBE,AGL COMPANY LIMITED,,Mid-sized International Freight Forwarders
AJQI,AGL KOREA COMPANY LIMITED,,Mid-sized International Freight Forwarders
AGFN,AGRIBIOFUELS LIMITED LIABILITY COMPANY,USA,US Importer
AEYC,AGRICULTURE & ENERGY CARRIERS LIMITED,,Other Players
AGXW,AGRIEX SHIPPING LIMITED,,Other Players
ACPV,AGROCOOPERATIVE LIMITED,,Other Players
AGFW,AGROEXPORT LIMITED,,Other Players
AGOM,AGRO LIMITED,,Other Players
AGRS,AGRORESORT LIMITED,,Other Players
AGSY,AG STAR EXPRESS LIMITED LIABILITY COMPANY,USA,Other Players
AGRD,A & G TRANSPORT INCORPORATED,USA,Other Players
AUGL,AGUILAR TRANSPORTATION,,Other Players
AGXM,AGX EXPRESS PHILS INCORPORATED,USA,Mid-sized International Freight Forwarders
AHIB,A-HANDLER INTERNATIONAL LOGISTICS SHENZHEN COMPANY LIMITED,,Mid-sized International Freight Forwarders
AXBO,AHC LOGISTICS (XIAMEN) COMPANY LIMITED,,Mid-sized International Freight Forwarders
AHRN,AHRENKIEL TANKERS GMBH & COMPANY KG,,Other Players
AIDA,AIDA LOGISTICS LIMITED LIABILITY COMPANY,USA,Other Players
AIMJ,AIMPACIFIC SERVICES INCORPORATED,USA,Mid-sized International Freight Forwarders
AISH,AIMS SHIPPING CORPORATION,,Mid-sized International Freight Forwarders
AMCI,AIM TRUCKING SERVICES INCORPORATED,USA,Other Players
AIIV,AIO INTERNATIONAL INCORPORATED,USA,Mid-sized International Freight Forwarders
AUCB,AIRBRIDGE USA CORPORATION,,Mid-sized International Freight Forwarders
AIBA,AIRBUS SAS,,Other Players
ACYF,AIR-CITY INCORPORATED,USA,Mid-sized International Freight Forwarders
ACXC,AIR-CITY XIAMEN FREIGHT INTL COMPANY LIMITED,,Mid-sized International Freight Forwarders
AFHR,AIRFORCE TRUCKING LIMITED LIABILITY COMPANY,USA,Other Players
AGWT,AIR & GROUND WORLD TRANSPORT,,Mid-sized International Freight Forwarders
AIRL,AIRLIFT (U S A) INCORPORATED,USA,Mid-sized International Freight Forwarders
AOLT,AIR ONE LOGISTICS USA INCORPORATED,USA,Mid-sized International Freight Forwarders
ASID,AIR & SEA INTERNATIONAL INCORPORATED,USA,Mid-sized International Freight Forwarders
ASTI,AIR SEA TRANSPORT INCORPORATED,USA,Mid-sized International Freight Forwarders
ASWW,AIR SEA WORLDWIDE LOGISTICS LIMITED,,Mid-sized International Freight Forwarders
ASST,AIR SEVEN (7) SEAS TRANSPORT LOGISTICS INCORPORATED,USA,Mid-sized International Freight Forwarders
ATXF,AIR TIGER EXPRESS (ASIA) INCORPORATED,USA,Mid-sized International Freight Forwarders
AIGB,AIR TIGER LOGISTICS (HK) LIMITED,,Mid-sized International Freight Forwarders
AIRV,AIRTRANS CARGO LIMITED LIABILITY COMPANY,USA,Mid-sized International Freight Forwarders
QQQS,AIR TRANSIA LIMITED LIABILITY COMPANY,USA,Other Players
ASEK,AIRTRUK/SEATRUK INCORPORATED,USA,Mid-sized International Freight Forwarders
AITO,AIT CORPORATION,,Mid-sized International Freight Forwarders
AIWL,AIT WORLDWIDE LOGISTICS INCORPORATED,USA,Large International Freight Forwarders
AJKG,AJ LOGISTICS COMPANY LIMITED,,Mid-sized International Freight Forwarders
ASHA,AJ'S HAULIN LIMITED LIABILITY COMPANY,USA,Other Players
AJIQ,AJS LOGISTICS PVT LIMITED,India,Mid-sized Indian Freight Forwarders
AJWI,A J WORLDWIDE SERVICES INCORPORATED,USA,Mid-sized International Freight Forwarders
AKIS,A & K INTERMODAL SERVICES INCORPORATED,USA,Other Players
AKDE,AK LOGISTICS LIMITED LIABILITY COMPANY,USA,Other Players
AKMH,AKM TRANSPORT,,Other Players
AIEI,ALASKA ICEFIELD EXPEDITIONS INCORPORATED,USA,Other Players
AMRU,ALASKA MARINE LINES,,Other Players
AKFW,ALASKAN FRONTIER,,Other Players
AKFT,ALASKA REEFER MANAGEMENT,,Other Players
AMJI,ALBANY TRANSPORT LIMITED,,Other Players
ATOK,ALBA TANKERS APS,,Other Players
ABTB,ALBATRANS SPA,,Mid-sized International Freight Forwarders
AAIF,ALBATROSS AMERICA INCORPORATED,USA,Mid-sized International Freight Forwarders
AVNP,ALBERTA NAVIGATION LIMITED,,Other Players
ABMA,ALBERTA SHIPMANAGEMENT LIMITED,,Other Players
ASCL,ALBESTER SYSTEM COMPANY LIMITED,,Other Players
ABPG,ALBINI & PITIGLIANI SPA,,Mid-sized International Freight Forwarders
ABHM,ALBRECHT FARMS HAULING LIMITED LIABILITY COMPANY,USA,Other Players
ABGH,ALBRIGHT LOGISTICS LIMITED LIABILITY COMPANY,USA,Other Players
ASMA,ALCATEL SUBMARINE NETWORKS (ASN) MARINE SAS,,Other Players
AFQL,ALC FREIGHT INCORPORATED,USA,Other Players
ASTE,ALCOA STEAMSHIP COMPANY INCORPORATED,USA,Other Players
AGKV,A LEGACY TRANSPORT LIMITED LIABILITY COMPANY,USA,Other Players
ALEE,A & L ENTERPRISES LIMITED LIABILITY COMPANY,USA,Other Players
ABLD,ALEXANDER & BLAKE LIMITED,,Other Players
AICS,ALEXANDROS INVESTMENT CORPORATION,,Other Players
ALFP,ALFA SHIPPING S A,,Other Players
AGZH,AL GHURAIR RESOURCES INTENATIONAL LIMITED LIABILITY COMPANY,USA,Other Players
ALOM,ALGOMA CENTRAL CORPORATION,,Other Players
AIBH,ALGOMA SHIPPING LIMITED,,Other Players
AFDL,ALIMENTOS FINOS DEL NORTE S DE RL DE CV,,Other Players
AMNF,ALISON MANAGEMENT CORPORATION,,Other Players
AIPJ,ALISPED INDIA PRIVATE LIMITED,India,Mid-sized Indian Freight Forwarders
ASUS,ALISPED USA INCORPORATED,USA,Mid-sized International Freight Forwarders
ASTA,ALISTA MARITIME INCORPORATED,USA,Other Players
AIIK,ALI STAR INCORPORATED,USA,Other Players
AOBA,ALI SUPER FREIGHTLINE INCORPORATED,USA,Other Players
AMCE,ALIZES,,Other Players
AFOJ,ALL AMERICAN FORWARDING INCORPORATED,USA,Mid-sized International Freight Forwarders
ALPJ,ALLCARGO LOGISTICS LIMITED,India,Large Indian Freight Forwarders
AYDE,ALLEN YD LOGISTICS INCORPORATED,USA,Other Players
AQFJ,ALL FOR ONE FREIGHT COMPANY LIMITED,,Mid-sized International Freight Forwarders
AFPN,ALL FOR THEM TRUCKING LIMITED LIABILITY COMPANY,USA,Other Players
AFIT,ALL FREIGHT INTERMODAL LIMITED LIABILITY COMPANY,USA,Other Players
AFXD,ALL FREIGHT (XIAMEN) LIMITED,,Mid-sized International Freight Forwarders
AWQE,ALLGREEN (INTERNATIONAL) CORPORATION,,Mid-sized International Freight Forwarders
AOCO,ALLIANCE CARGO TRANSFERS LIMITED LIABILITY COMPANY,USA,Other Players
AFGB,ALLIANCE FREIGHT LIMITED,India,Mid-sized International Freight Forwarders
AKEO,ALLIANCE GLOBAL LOGISTICS CONSULTING,,Other Players
ANIJ,ALLIANCE INTERNATIONAL,,Mid-sized International Freight Forwarders
AIAW,ALLIANCE INTERNATIONAL LOGISTICS,,Mid-sized International Freight Forwarders
AIYS,ALLIANCE INTERNATIONAL SHIPPING,,Mid-sized International Freight Forwarders
AIHE,ALLIANCE SHIPPING LONDON,,Other Players
ATGB,ALLIANCE TOWING AND RECOVERY,,Other Players
APQC,ALLIED LOGISTICS PLANNERS INCORPORATED,USA,Other Players
AOWP,ALLIED OCEAN TRANSPORT LIMITED LIABILITY COMPANY,USA,Other Players
ANHH,ALL IN DISPATCH SERVICES LIMITED LIABILITY COMPANY,USA,Other Players
AIUA,ALL IS WELL TRANS INCORPORATED,USA,Other Players
APND,ALL POINTS CONTAINER LINE,,NVOCCs
AUIM,ALLPOINTS UNLIMITED INCORPORATED,USA,Mid-sized International Freight Forwarders
APCI,ALLPORT CARGO SERVICES PVT LIMITED,India,Large Indian Freight Forwarders
AXEC,ALL ROUND EXPRESS INCORPORATED,USA,Mid-sized International Freight Forwarders
AORJ,ALLROUND FORWARDING COMPANY INCORPORATED,USA,Mid-sized International Freight Forwarders
AFMY,ALLROUND FORWARDING MIDWEST INCORPORATED,USA,Mid-sized International Freight Forwarders
AQEM,ALLSEAS MARINE S A,,Other Players
AUSA,ALLSEAS USA INCORPORATED,USA,Other Players
ASSG,ALL SERVICE MOVING,,Other Players
ALRM,ALL SQUARE LOGISTICS INCORPORATED,USA,Other Players
ASJN,ALL STAR TRANSPORTATION BROKERS,,Other Players
AIFA,ALLSTATE INTL FREIGHT USA INCORPORATED DBA A I F COMPANY,USA,Mid-sized International Freight Forwarders
AIYW,ALLSTATES LOGISTICS LIMITED LIABILITY COMPANY,USA,Other Players
AXCF,ALL TRANS CARGO CORPORATION,,Mid-sized International Freight Forwarders
AEBD,ALLTRANS LINES PTE LIMITED,,NVOCCs
AWFD,ALL-WAYS FORWARDING INTERNATIONAL INCORPORATED,USA,Mid-sized International Freight Forwarders
AWID,ALL-WAYS LOGISTICS INDIA PRIVATE LIMITED,India,Mid-sized Indian Freight Forwarders
AQNF,ALL-WAYS LOGISTICS INDIA PRIVATE LIMITED,India,Mid-sized Indian Freight Forwarders
AWSL,ALL WORLD SHIPPING CORPORATION,,NVOCCs
ALMY,"ALMAGUER MARTINEZ,PEDRO JORGE",,Other Players
AVHO,ALMAVIVA SHIPPING CORPORATION,,Other Players
AINW,ALMEGA INCORPORATED,USA,Other Players
ASGM,ALMERIA SHIPPING LIMITED,,Other Players
AMAM,ALMI MARINE MANAGEMENT SA,,Other Players
ATKA,ALMI TANKERS S A,,Other Players
AHPN,ALOHA PRO,,Other Players
AFUT,ALONSO FORWARDING USA INCORPORATED,USA,Mid-sized International Freight Forwarders
AOLA,ALONSO LOGISTICS INDIA PRIVATE LIMITED,India,Mid-sized Indian Freight Forwarders
ATPK,ALORA TANKERS PTE LIMITED,,Other Players
AOSW,ALOSA TRANSPORT LIMITED LIABILITY COMPANY,USA,Other Players
ALSG,ALPHA CARGO TRANSPORTATION LIMITED LIABILITY COMPANY,USA,Other Players
AFDV,ALPHA FORWARDING COMPANY LIMITED,,Mid-sized International Freight Forwarders
APHW,ALPHA GAS S A,,Other Players
ALLD,ALPHA LOGISTICS LIMITED LIABILITY COMPANY,USA,Other Players
APVF,ALPHA SEA AND AIR PVT LIMITED,India,Mid-sized Indian Freight Forwarders
AAHP,ALPHA TRANSPORTATION,,Other Players
ALRW,ALPHA TRANSPORTATION INTERNATIONAL(SHENZHEN) LIMITED,,Mid-sized International Freight Forwarders
AOHL,ALPHA ZEBRA GLOBAL LOGISTICS PRIVATE LIMITED,India,Mid-sized Indian Freight Forwarders
AARG,ALPI AIR & SEA,,Mid-sized International Freight Forwarders
AUSY,ALPI U S A INCORPORATED,USA,Mid-sized International Freight Forwarders
ALPI,ALPI USA INCORPORATED,USA,Mid-sized International Freight Forwarders
ALOQ,ALP LOGISTICS JSC,,Mid-sized International Freight Forwarders
ALME,ALP MARITIME SERVICES BV,,Other Players
APQV,ALPS LOGISTICS COMPANY LIMITED,,Mid-sized International Freight Forwarders
ALKY,ALPS LOGISTICS (KOREA) COMPANY LIMITED,,Mid-sized International Freight Forwarders
ANFQ,ALQITTA NUTS LIMITED,,Other Players
ATAV,ALTA LIMITED,,Other Players
AEJM,ALTERNA CAPITAL PARTNERS LIMITED LIABILITY COMPANY,USA,Other Players
ANVT,ALTERNATIVE TRANSPORT INCORPORATED,USA,Other Players
AUCQ,ALTIUS USA CORPORATION,,Mid-sized International Freight Forwarders
AOCL,ALTO CONTAINER LINE INCORPORATED,USA,NVOCCs
ANVC,ALTO NAVIGATION LIMITED,,Other Players
ALPE,ALTOPRO INCORPORATED,USA,Other Players
AQUI,ALT TRANSPORT ET LOGISTIQUE INCORPORATED,USA,Other Players
ABSH,ALWAYS BLUE SEA & AIR COMPANY LIMITED,,Mid-sized International Freight Forwarders
ALXN,ALX INDUSTRIES LIMITED LIABILITY COMPANY,USA,Other Players
AAHD,AMADA SHIPPING INCORPORATED,USA,Other Players
AFUW,AMA FREIGHT (SHANGHAI) COMPANY LIMITED,,Mid-sized International Freight Forwarders
AGIH,AMAGGI SA,,Other Players
AMNT,A & M AG TRANSPORT LIMITED LIABILITY COMPANY,USA,Other Players
APDN,AMALIA PRODUCT CORPORATION,,US Importer
AMLM,AMA LOGISTICS LIMITED LIABILITY COMPANY,USA,Other Players
ACRY,AMAN CONTRANS INDIA PVT LIMITED,India,Mid-sized Indian Freight Forwarders
ARHP,AMARINE SHIPPING COMPANY LIMITED,,Mid-sized International Freight Forwarders
AMIG,AMASS INTERNATIONAL GROUP INCORPORATED,USA,Mid-sized International Freight Forwarders
ABVW,AMASUS SHIPPING BV,,Other Players
AXPO,AMAX EXPRESS LIMITED LIABILITY COMPANY,USA,Other Players
AXGG,AMAX GLOBAL LOGISTICS,,Mid-sized International Freight Forwarders
AXOT,A-MAX POOL LIMITED,,Other Players
AMCP,AMAZONAS CA LIMITED LIABILITY COMPANY,USA,Other Players
AMZD,AMAZON CHINA AMAZON.CN AMAZON GLOBAL LOGISTICS CHINA,,Large International Freight Forwarders
AMZE,AMAZONIAN ENTERPRISES COMPANY LIMITED,,Other Players
AMZN,AMAZON MARITIME INCORPORATED,USA,Large International Freight Forwarders
ASBV,AMAZON SHIPPING B V,,Large International Freight Forwarders
ASAD,AMBASSADOR SERVICES INCORPORATED,USA,Other Players
ASUI,AMBERCOR SHIPPING USA INCORPORATED,USA,Other Players
AMAE,A M BEST TRANSPORTATION INCORPORATED,USA,Other Players
AMBB,AMBIT TRANSPORT INCORPORATED,USA,Other Players
ACFG,AMCAR FREIGHT INCORPORATED,USA,Mid-sized International Freight Forwarders
AMGP,A M CARGO CASTELLON S L,,Mid-sized International Freight Forwarders
AOMS,A & M COURIER SERVICES LIMITED LIABILITY COMPANY,USA,Other Players
AIHM,AMC TRANSPORTATION INCORPORATED,USA,Other Players
AMUH,AMC USA INCORPORATED,USA,Other Players
AMEN,AME LOGISTICS LIMITED LIABILITY COMPANY,USA,Other Players
AMSP,AMERASIA SHIPPING LINE,,NVOCCs
ASHV,AMERASIA SHIPPING LOGISTICS U S,,Mid-sized International Freight Forwarders
AZXS,AMERICA LOGISTICS SOLUTION INCORPORATED,USA,Mid-sized International Freight Forwarders
AEAS,AMERICANA EXPRESS (SHANDONG) COMPANY LIMITED,,Mid-sized International Freight Forwarders
AMEH,AMERICAN COMMERCIAL TRANSPORT INCORPORATED,USA,Other Players
AEHS,AMERICAN CONTAINER LINES,,NVOCCs
ANZN,AMERICAN CRUISE-AID LOGISTICS INCORPORATED,USA,Mid-sized International Freight Forwarders
ADHP,AMERICAN DREAM CARRIER INCORPORATED,USA,Other Players
AEEG,AMERICAN EAGLE EXPRESS LIMITED LIABILITY COMPANY,USA,Other Players
AEGN,AMERICAN EAGLE TRUCKING LIMITED LIABILITY COMPANY,USA,Other Players
AFAY,AMERICAN FREIGHT LOGISTICS INCORPORATED,USA,Mid-sized International Freight Forwarders
AFDT,AMERICAN FREIGHT LOGISTICS INCORPORATED,USA,Mid-sized International Freight Forwarders
AGNG,AMERICAN GENERAL LOGISTICS INCORPORATED,USA,Mid-sized International Freight Forwarders
AILW,AMERICAN INDEPENDENT LINE INCORPORATED,USA,NVOCCs
AEIG,AMERICAN INTERNATIONAL CARGO SERVICE INCORPORATED,USA,Mid-sized International Freight Forwarders
AITB,AMERICAN INTERNATIONAL INCORPORATED,USA,Other Players
AMJH,AMERICAN MARINE CORPORATION,,Other Players
ANTH,AMERICAN NATIONAL TRUCKING LIMITED LIABILITY COMPANY,USA,Other Players
ANWM,AMERICAN NEW LOGISTICS SERVICE COMPANY LIMITED,,Mid-sized International Freight Forwarders
AMJA,AMERICAN OCEAN LINE INCORPORATED,USA,NVOCCs
AOME,AMERICAN OCEAN MARINETIME INCORPORATED,USA,Other Players
APWT,AMERICAN PETROLEUM TANKERS LIMITED LIABILITY COMPANY,USA,Other Players
APLU,AMERICAN PRESIDENT LINES LIMITED LIABILITY COMPANY,USA,Other Players
AROF,AMERICAN ROLL-ON ROLL-OFF CARRIER LIMITED LIABILITY COMPANY,USA,Other Players
AHPH,AMERICAN SHIPPING AND CHARTERING CORPORATION,,Other Players
AMSW,AMERICAN SHIPPING INCORPORATED,USA,Mid-sized International Freight Forwarders
ASLI,AMERICAN SHIPPING & LOGISTICS INCORPORATED,USA,Mid-sized International Freight Forwarders
ASSH,AMERICAN STEAMSHIP COMPANY,,Other Players
AMTW,AMERICAN TRANSPORTATION LIMITED LIABILITY COMPANY,USA,Other Players
ATPV,AMERICAN TRANSPORT SERVICES INCORPORATED,USA,Other Players
ATKC,AMERICAN TRANSPORT SOLUTIONS,,Other Players
ANKP,AMERICAN TRUCKING LIMITED LIABILITY COMPANY,USA,Other Players
ATUM,AMERICAN TUGS INCORPORATED,USA,Other Players
AWBG,AMERICAN WEST LOGISTIC LIMITED LIABILITY COMPANY,USA,Other Players
